3K_DNA_IRIS_UNIQUE_ID;TYPE
IRIS-313-10982;ind2
IRIS-313-10983;indx
IRIS-313-10984;ind2
IRIS-313-10985;ind2
IRIS-313-10986;ind2
IRIS-313-10987;aus
IRIS-313-10988;indx
IRIS-313-10989;ind2
IRIS-313-10990;indx
IRIS-313-10991;trop1
IRIS-313-10992;trop1
IRIS-313-10993;trop1
IRIS-313-10994;trop1
IRIS-313-10995;ind3
IRIS-313-10996;indx
IRIS-313-10997;ind3
IRIS-313-10998;indx
IRIS-313-10999;trop1
IRIS-313-11000;ind3
IRIS-313-11001;trop1
IRIS-313-11003;trop1
IRIS-313-11004;trop1
IRIS-313-11005;trop1
IRIS-313-11006;ind3
IRIS-313-11007;trop1
IRIS-313-11008;trop1
IRIS-313-11009;trop1
IRIS-313-11010;ind3
IRIS-313-11011;indx
IRIS-313-11012;admix
IRIS-313-11013;aus
IRIS-313-11014;aus
IRIS-313-11015;aus
IRIS-313-11016;aus
IRIS-313-11017;aus
IRIS-313-11018;aus
IRIS-313-11019;aus
IRIS-313-11020;aus
IRIS-313-11021;aro
IRIS-313-11022;aro
IRIS-313-11023;aro
IRIS-313-11024;aus
IRIS-313-11025;aus
IRIS-313-11026;aro
IRIS-313-11027;aus
IRIS-313-11028;aus
IRIS-313-11029;aus
IRIS-313-11030;aro
IRIS-313-11031;aus
IRIS-313-11032;aro
IRIS-313-11033;admix
IRIS-313-11034;aus
IRIS-313-11035;admix
IRIS-313-11036;aus
IRIS-313-11037;aus
IRIS-313-11038;ind1A
IRIS-313-11039;ind1A
IRIS-313-11040;indx
IRIS-313-11041;ind2
IRIS-313-11042;indx
IRIS-313-11043;ind3
IRIS-313-11044;trop1
IRIS-313-11045;trop1
IRIS-313-11046;trop1
IRIS-313-11047;aus
IRIS-313-11048;aus
IRIS-313-11049;aus
IRIS-313-11050;aus
IRIS-313-11051;aus
IRIS-313-11052;aus
IRIS-313-11053;aus
IRIS-313-11054;aus
IRIS-313-11055;aus
IRIS-313-11056;aus
IRIS-313-11057;aus
IRIS-313-11058;aus
